variables;bfsTemps;bfsNoeud;dfsTemps;dfsNoeud;dijkTemps;dijkNoeud;ATemps;ANoeud
10;448793;4;156728;2;9647766;7;1243382;10
10;306146;2;74407;1;7176884;2;7176884;3
10;426738;3;117939;2;11639265;26;951278;13
10;71950;0;15178;0;9696508;11;531237;0
10;713778;8;1934477;29;17190064;75;2905565;64
10;2059581;26;1255738;29;11236708;46;2824676;61
10;1362345;23;141867;4;13071230;66;1797439;51
10;1211818;19;231955;6;15071961;63;1799807;50
10;446225;5;278615;6;9958283;12;1502033;17
10;2808545;48;156373;4;10984537;53;1694108;43
20;42010924;563;5027924;177;76701297;452;13075309;409
20;18067934;263;3996611;172;118244074;761;5018664;276
20;13790800;173;1133508;58;140180553;502;3640369;167
20;3640369;418;101855458;1241;312126230;1934;49809960;1482
20;4621358;94;11991409;349;106180540;587;7557649;213
20;3418873;60;4430256;123;42885487;244;1902264;50
20;183413383;2170;6618211;487;745593898;3240;14221801;490
20;1301984;20;131358;3;13192300;85;2873576;88
20;3849771;52;9995308;269;253646208;1071;4429317;118
20;12292005;209;42533769;547;504776121;1700;8049061;179
30;20158384;296;2493666;103;285472717;1450;4114394;175
30;53733355;790;9114692;113;528699720;1697;57186024;822
30;55698930;598;60312663;975;824908757;2162;18112768;631
30;13318313532;26737;111123935;3432;22468499376;20096;148684269;3002
30;197710469;2375;119531475;994;254625786;1543;124435972;2452
30;13051544;219;186240705;1911;729586325;2678;3532659;167
30;60265020;912;8233192;375;1044949048;4398;49545273;1612
30;165667391;1645;1827447;182;271653944;1609;23853225;968
30;2674090;52;909016;27;9814380;53;1617009;42
30;15762165;487;2890562;88;26979096;250;20756080;491
40;694031580;8775;586155590;5245;1580124144;7209;330068068;4512
40;9666857;212;5055539;107;32815035;263;10442577;220
40;3651065843;18587;660032105;4195;27981500451;24124;1472317917;10074
40;48083445;850;16853035;223;47678812;440;32481161;842
40;5469375;114;1250756;45;10205195;59;3416386;115
40;2098907387;19755;307612045;2579;3175727004;10162;2819211752;18870
40;44329469;925;6483294;162;59450462;603;43257029;934
40;274336760;3870;478674886;4400;1247921109;5744;261810394;4037
40;197348844;2709;182091999;1634;502689007;2303;170633004;2267
40;391380645;5388;135214308;1559;738554307;2804;663947537;5284
50;137972986;1946;16046963;165;392640996;1855;111576684;1443
50;1440311489;11671;1139591107;6999;1892853844;7273;1570240100;12518
50;259286888;1902;52435979;267;474786578;1860;214341156;1819
50;113981382;1637;55085458;619;226122167;1418;127665621;1702
50;1006912807;4861;398693358;1160;1508561504;4140;715891736;5183
50;275950509;3353;276454422;2106;572876384;2719;344431025;3357
50;269848469;2186;192093520;1109;417132728;1803;255609554;2175
50;3179320134;17953;2230162778;12107;7853382743;15429;2372684057;14971
50;51771274;891;17447138;328;44743674;449;36720613;892
50;65102140;501;701931924;3957;3603987478;10680;79458958;852